n_games,score,record
1,10,10
2,10,10
3,0,10
4,10,10
5,10,10
6,10,10
7,10,10
8,10,10
9,10,10
10,10,10
11,10,10
12,10,10
13,10,10
14,50,50
15,10,50
16,10,50
17,10,50
18,10,50
19,40,50
20,50,50
21,160,160
22,210,210
23,70,210
24,90,210
25,110,210
26,60,210
27,120,210
28,30,210
29,10,210
30,30,210
31,90,210
32,20,210
33,10,210
34,120,210
35,260,260
36,30,260
37,150,260
38,20,260
39,40,260
40,120,260
41,30,260
42,40,260
43,30,260
44,30,260
45,30,260
46,20,260
47,80,260
48,50,260
49,310,310
50,80,310
51,20,310
52,140,310
53,90,310
54,30,310
55,10,310
56,60,310
57,80,310
58,110,310
59,290,310
60,20,310
61,60,310
62,230,310
63,80,310
64,130,310
65,90,310
66,50,310
67,30,310
68,50,310
69,90,310
70,80,310
71,40,310
72,10,310
73,140,310
74,50,310
75,300,310
76,180,310
77,90,310
78,90,310
79,120,310
80,10,310
81,70,310
82,30,310
83,40,310
84,80,310
85,30,310
86,40,310
87,90,310
88,330,330
89,20,330
90,20,330
91,160,330
92,200,330
93,240,330
94,120,330
95,310,330
96,20,330
97,10,330
98,150,330
99,280,330
100,240,330
101,310,330
102,140,330
103,30,330
104,60,330
