n_games,score,record
1,0,0
2,0,0
3,10,10
4,0,10
5,10,10
6,0,10
7,0,10
8,0,10
9,10,10
10,0,10
11,10,10
12,20,20
13,20,20
14,10,20
15,10,20
16,20,20
17,0,20
18,10,20
19,30,30
20,0,30
21,0,30
22,10,30
23,60,60
24,50,60
25,30,60
26,30,60
27,170,170
28,10,170
29,20,170
30,100,170
31,20,170
32,10,170
33,100,170
34,210,210
35,270,270
36,70,270
37,150,270
38,70,270
39,370,370
40,160,370
41,290,370
42,330,370
43,330,370
44,260,370
45,180,370
46,260,370
47,240,370
48,250,370
49,100,370
50,370,370
51,520,520
