n_games,score,record
1,0,0
2,0,0
3,0,0
4,10,10
5,10,10
6,0,10
7,10,10
8,0,10
9,0,10
10,0,10
11,0,10
12,0,10
13,10,10
14,10,10
15,10,10
16,0,10
17,0,10
18,0,10
19,20,20
20,0,20
21,0,20
22,10,20
23,0,20
24,0,20
25,10,20
26,0,20
27,0,20
28,0,20
29,20,20
30,0,20
31,0,20
32,0,20
33,0,20
34,0,20
35,0,20
36,10,20
37,0,20
38,0,20
39,0,20
40,10,20
41,10,20
42,0,20
43,0,20
44,10,20
45,10,20
46,10,20
47,0,20
48,0,20
49,10,20
50,0,20
51,0,20
52,0,20
53,10,20
54,0,20
55,0,20
56,10,20
57,0,20
58,10,20
59,0,20
60,0,20
61,0,20
62,10,20
63,0,20
64,10,20
65,0,20
66,10,20
67,10,20
68,20,20
69,0,20
70,0,20
71,0,20
72,10,20
73,0,20
74,0,20
75,0,20
76,10,20
77,40,40
78,0,40
79,20,40
80,10,40
81,0,40
82,0,40
83,10,40
84,10,40
85,10,40
86,0,40
87,0,40
88,0,40
89,50,50
90,20,50
91,10,50
92,10,50
93,0,50
94,10,50
95,10,50
96,30,50
97,10,50
98,10,50
99,50,50
100,30,50
101,20,50
102,40,50
103,70,70
104,20,70
105,10,70
106,30,70
107,50,70
108,60,70
109,20,70
110,10,70
111,0,70
112,0,70
113,20,70
114,20,70
115,10,70
116,70,70
117,50,70
118,10,70
119,30,70
120,0,70
121,20,70
122,50,70
123,50,70
124,30,70
125,20,70
126,30,70
127,70,70
128,100,100
129,50,100
130,30,100
131,50,100
132,10,100
133,70,100
134,20,100
135,0,100
136,20,100
137,130,130
138,10,130
139,60,130
140,10,130
141,10,130
142,20,130
143,0,130
144,10,130
145,70,130
146,30,130
147,60,130
148,130,130
149,60,130
150,60,130
151,10,130
152,60,130
153,10,130
154,50,130
155,100,130
156,30,130
157,50,130
158,80,130
159,10,130
160,110,130
161,50,130
162,50,130
163,0,130
164,20,130
165,60,130
166,160,160
167,0,160
168,40,160
169,80,160
170,30,160
171,60,160
172,100,160
173,60,160
174,70,160
175,90,160
176,40,160
177,0,160
178,60,160
179,60,160
180,30,160
