n_games,score,record
1,0,0
2,0,0
3,0,0
4,0,0
5,10,10
6,10,10
7,10,10
8,10,10
9,10,10
10,10,10
11,10,10
12,10,10
13,0,10
14,10,10
15,0,10
16,0,10
17,0,10
18,10,10
19,20,20
20,10,20
21,20,20
22,60,60
23,0,60
24,10,60
25,0,60
26,20,60
27,40,60
28,20,60
29,30,60
30,10,60
31,20,60
32,30,60
33,50,60
34,50,60
35,30,60
36,50,60
37,50,60
38,20,60
39,50,60
40,50,60
41,40,60
42,10,60
43,70,70
44,20,70
45,30,70
46,10,70
47,20,70
48,70,70
49,30,70
50,20,70
51,40,70
52,30,70
53,30,70
54,90,90
55,40,90
56,50,90
57,10,90
58,10,90
59,20,90
60,40,90
61,10,90
62,90,90
63,80,90
64,50,90
65,50,90
66,10,90
67,60,90
68,30,90
69,80,90
70,60,90
71,10,90
72,10,90
73,50,90
74,30,90
75,120,120
76,50,120
77,140,140
78,10,140
79,60,140
80,140,140
81,50,140
82,20,140
83,100,140
84,260,260
85,90,260
86,30,260
87,280,280
88,10,280
89,50,280
90,60,280
91,30,280
92,190,280
93,80,280
94,100,280
95,60,280
96,100,280
97,60,280
98,30,280
99,120,280
100,30,280
101,30,280
102,60,280
103,170,280
104,140,280
105,190,280
106,40,280
107,70,280
108,90,280
109,130,280
